dj	dj || 0
pronounce	adjudge,articulate,clear,click,declare,enounce,enunciate,find,hold,judge,label,raise,roll,round,rule,say,sound out,stress,tout,voice || 0.0
prop	bolster,hold,hold up,prop up,shore,shore up,support,sustain || 0.232935262696
prop up	bolster,hold,hold up,prop,shore,shore up,support,sustain || 0.0
propagate	carry,catch,circulate,run,spread || 0.329679953964
propel	actuate,carry,catapult,cause,displace,do,drive,hit,impel,incite,kick,launch,make,motivate,move,project,prompt,throw || 0.329679953964
proportion	adjust,correct,harmonise,harmonize,set || 0
propose	advance,advise,advocate,aim,choose,declare,declare oneself,intend,introduce,mean,move,nominate,offer,pick out,plan,pop the question,project,purport,purpose,recommend,request,select,state,submit,suggest,take,think || 0.0
prorogue	call,hold,postpone,remit,reprieve,suspend || 0
proscribe	ban,forbid || -0.329679953964
prosecute	close,pursue || 0.0
prospect	explore,look,research,search || 0.550671035883
prosper^	boom,change state,expand,flourish,fly high,get ahead,grow,revive,thrive,turn || 0.0
protect	assist^,cover,defend,hold,keep,preserve,safeguard,shield,surround || 0
protest	arise,march,resist,rise,strike || 0
protract	draw out,extend,lengthen,prolong,spin || 0
protrude	bulk,pop,project,start,thrust || 0
prove	affirm,authenticate,be,bear witness,bring up,cite,confirm,contradict,control,corroborate,demonstrate,elevate,essay,establish,evaluate,evidence,examine,float,get up,grow,impress,inform,judge,leaven,lift,manifest,pass judgment,print,raise,result,rise,shew,show,substantiate,support,sustain,test,testify,try,try out,turn out,turn up || 0.909282046711
provide	afford,allow,allow for,board,bottom,bring home the bacon,bush,capitalize,cater,charge,condition,date,edge,engage,extend,feed,fix,flood,fuel,fund,furnish,gear up,give,headline,help,index,joint,key,leave,leverage,match,meet,offer,partner,ply,pour,power,prepare,provision,pump,put up,qualify,ready,render,seat,serve,set,set up,specify,step,stipulate,stock,supply,support,sustain,tap,theme,top,treat,tube,wage,water,yield || 0.939189937375
provision	furnish,provide,purvey,render,supply || 0
provoke	annoy,arouse,beset,bother,bruise,call forth,cause,chafe,challenge,chevvy,chevy,chivvy,chivy,create,devil,do,draw,elicit,enkindle,evoke,fire,frustrate,get at,get to,gravel,harass,harry,hassle,hurt,ignite,interest,irritate,kick up,kindle,lure,make,molest,nark,nettle,overcome,overtake,pick,plague,rag,raise,rile,shake,stimulate,stir,tempt,vex,wake,wound || 0.0
prowl	lurch || -0.329679953964
prune	crop,cut,lop,poll,top,trim || 0
pry	ask,enquire,extort,horn in,inquire,intrude,jimmy,lever,look,nose,open,open up,poke,prise,prize,search,wring from || 0.329679953964
publicise	advertise,air,circulate,headline,issue,publish,release,send,spread,transmit || 0
publicize	advertise,air,circulate,headline,issue,publish,release,send,spread,transmit || 0
publish	air,bare,bring out,create,create verbally,issue,make,print,produce,publicise,publicize,put out,release,write || 0
pucker	gather || 0.0
puddle	make || 0.698805788088
puff	drag,draw || 0
puff up	swell || 0.0
pull	act,arrest,attract,back,bring,bust,catch,commit,deplumate,deplume,displace,displume,drag,draw,draw in,draw out,drive,endorse,extract,force,get,get out,hit,indorse,injure,make,move,overstretch,perpetrate,pick,pluck,plump for,plunk for,pull in,pull out,pull up,rein,rein in,remove,rend,rip,rive,root,row,rupture,side,snap,stretch,strip,support,take,take away,take out,tear,tug,withdraw,wound || 0.142328876612
pull a face	lower,mop || 0.0
pull ahead	advance,gain,hit,win || 0.0
pull away	retreat,withdraw || 0.0
pull back	draw,retreat,withdraw || 0.0
pull down	level || 0.0
pull in	archive,arrest,attract,bear,bring,catch,clear,collect,draw,earn,gain,get,gross,make,pay,profit,pull,rally,realize,tug,yield || 0.0
pull in one's horns	retreat,withdraw || 0.0
pull off	manage || 0.0
pull out	draw,pull || 0.0
pull round	survive || 0.0
pull someone's leg	hoax || 0.0
pull strings	manipulate || 0.0
pull the wool over someone's eyes	snow || 0.0
pull through	deliver,rescue,save,survive || 0.0
pull together	collect,garner,gather,mobilise,mobilize,muster,pick,rally,shock || 0.0
pull up	pull || 0.0
pull up stakes	leave,quit || 0.0
pull wires	manipulate || 0.0
pullulate	crawl,pour,shoot || 0.329679953964
pulsate	beat,pulse || -0.550671035883
pulse	beat,create,displace,make,move,pound,produce,pulsate,throb,thump || -0.329679953964
pummel	biff,hit,pommel || 0
pump	bring up,displace,draw,elevate,furnish,get up,gush,handle,lift,move,provide,query,question,raise,render,shoot,spirt,spout,spurt,supply,take out,wield || 0.172932943353
punch	hit,perforate,pierce,plug,thrust || 0.329679953964
punctuate	mark,quote,stress,underline,underscore || 0.329679953964
punish	correct,discipline,penalise,penalize* || -0.232935262696
punt	back,game,stake || 0
purchase	acquire,buy,get,subscribe,take || 0
puree	strain || 0
purloin	lift || -0.329679953964
purport	propose || 0
purpose	propose || 0
pursue	act,act on,chase,close,dog,engage,follow,follow up on,go,go after,haunt,locomote,look for,move,oppose,prosecute,quest after,quest for,react,search,seek,tail,track,travel || 0.0
purvey	provision || 0
push	advertise,advertize,agitate,approach,bear on,bill,bull,campaign,come near,come on,crowd,crusade,deal,displace,draw close,draw near,drive,exhort,fight,force,go,go up,labor,labour,locomote,move,near,nudge,praise,press,promote^,reach,sell,squeeze,strain,struggle,stuff,thrust,tip,trade,travel,tug,tumble,urge,urge on || -0.165295042158
push around	bully || 0.0
push aside	dismiss,ignore,slight || 0.0
push back	drive || 0.0
push up	thrust || 0.0
pussyfoot	creep || -0.329679953964
put	alter,apply,approximate,arrange,articulate,assign,barrel,bottle,butt,cast,change,commit,couch,deposit,displace,drop,employ,estimate,expend,fix,formulate,frame,fund,gauge,give voice,ground,guess,introduce,invest,job,judge,lay,load,lose,modify,move,order,organise,organize,phrase,pile,place,poise,pose,position,redact,replace,rest,seat,set,set up,settle,sign,sit,space,speculate,spend,stand,step,stick,subject,throw,thrust,use,utilise,utilize,word || 0.661180168634
put across	acknowledge,carry,deliver,pass,request,return,reveal,show || 0.0
put away	abandon,dump,jettison,lag,scrap,toss,trash,waste || 0.0
put back	replace || 0.0
put behind bars	lag || 0.0
put down	accession,blow,book,bury,chronicle,drop,enter,file,keep,land,log,maintain,manifest,mark,notch,note,post,record,reduce,register,shoot,snap,take,tape,write down || 0.0
put forward	assert,bless,raise,state,stick,stir,submit || 0.0
put in	accumulate,amass,collect,compile,feed,hoard,inject,introduce,post,shoot,slip,store,submit || 0.0
put off	bother,call,dodge,hedge,hold,postpone,remit,reprieve,suspend || 0.0
put on	assume,don,gain,mount,round,try,wear || 0.0
put on the line	adventure,risk,stake,venture || 0.0
put out	block,bother,extend,issue,publish,release,trouble || 0.0
put over	call,hold,postpone,remit,reprieve,suspend || 0.0
put through	implement || 0.0
put to death	hang || 0.0
put to make	work || 0.0
put to sleep	block || 0.0
put to use	work || 0.0
put together	compound,tack || 0.0
put under	block || 0.0
put up	accept,bear,can,contribute,digest,endure,home,house,offer,pay,post,provide,raise,stand,submit,suffer,support,take,tin,undergo || 0.0
puzzle	beat,get,pose,riddle,stick || -0.172932943353
puzzle out	answer,break,guess,lick,riddle,strike,work || 0.0
quail	shrink || -0.550671035883
qualify	accelerate,characterize,condition,mark,provide,restrict,speed || 0.670849955268
quantify	gauge,measure,plumb,scale,step,time,weigh || 0
quarrel	scrap || 0
quarter	accommodate,billet,canton,divide,draw,draw and kill,fraction,lodge,section,segment || 0.0
quash	avoid,break,reduce,subdue || -0.698805788088
queer	cross,dash,disappoint,expose,frustrate,ruin*,short-circuit,thwart || -0.909282046711
quell	stay || 0
query	pump,question,wonder || 0
quest	appeal,ask,book,call,challenge,claim,demand,hold,order,request,reserve,tap || 0.550671035883
quest after	pursue || 0.0
quest for	pursue || 0.0
question	ask,call into challenge,chew over,contemplate,converse,discourse,excogitate,interrogate,interview,meditate,mull,mull over,muse,oppugn,ponder,pump,query,reflect,ruminate,speculate,think over,wonder || -0.698805788088
quetch	beef,crab,kick,plain,report || -0.550671035883
queue	line up,queue up,stand,stand up || 0.698805788088
queue up	queue || 0.0
quicken	accelerate,renovate,revive,speed || 0.232935262696
quiesce	quiet || -0.239809449005
quiet	calm,calm down,change intensity,comfort,compose,console,hush,lull,pipe down,quiesce,quiet down,quieten,reassure,solace,soothe,still,tranquilize,tranquillise,tranquillize || -0.134169991054
quiet down	quiet || 0.0
quieten	calm,compose,quiet,reassure,still || 0.0476083396512
quit	abandon,break,cease,chuck up the sponge,depart,discontinue,drop,drop by the wayside,drop out,fall,fall by the wayside,foreswear,give up,go away,go forth,lay off,leave,leave office,pull up stakes,relinquish,renounce,resign,step down,stop,take leave,throw in,throw in the towel,withdraw || 0.589010616667
quiver	beat,flutter || -0.329679953964
quiz	test || 0
quote	advert,bring up,cite,give,ingeminate,iterate,mark,mention,name,punctuate,refer,reiterate,repeat,restate,retell || 0
rabbit on	spout || 0.0
race	act,belt along,buck,bucket along,campaign,cannonball along,charge,compete,contend,dash,displace,go,hasten,hie,hotfoot,locomote,move,pelt along,run,rush,rush along,shoot,show,speed,travel,vie || -0.550671035883
rack	squeeze || 0
rack up	convert,get,have,hit,kick,make,mop up,par,pip,shoot || 0.0
radiate	blink,diversify || 0.518798830058
raft	construct,fabricate,go,locomote,manufacture,move,transport,travel || -0.329679953964
rag	beleaguer,beset,bother,correct,frustrate,get,plague,provoke,rally,ride || -0.540375709752
raid	bust || -0.329679953964
rail	train || -0.172932943353
raiment	cover || 0
rain	pour || -0.329679953964
rain buckets	pour,sheet || 0.0
rain cats and dogs	pour,sheet || 0.0
rain down	pour || 0.0
raise	advance,advert,alter,ameliorate,amend,arouse,articulate,assign,bet,better,bid,bless,boost,bring out,bring up,bruise,build,call,call down,call forth,carry,change,cite,collect,compound,conjure,conjure up,construct,contact,create,cultivate,deepen,delegate,depute,designate,displace,draft,draw,elevate,elicit,end,enhance,enkindle,enlist,enounce,enunciate,erect,evoke,express,farm,favor,fire,foster,get hold of,get through,get up,give tongue to,grow,heighten,hike,hurt,ignite,improve,incite,increase,instigate,intensify,interest,invoke,jack,keep,kick upstairs,kindle,leaven,levy,lift,make,meliorate,mention,modify,move,multiply,muster in,name,nurture,overcome,overtake,parent,play,prefer,produce,promote^,pronounce,prove,provoke,pump,put forward,put up,reach,rear,recruit,refer,resurrect,revive,run up,say,set off,set up,shake,skid,sound out,stimulate,stir,stir up,take in,terminate,upgrade,upresuscitate,utter,verbalise,verbalize,wager,wake,wind,wound || 0.439980024031
raise up	beat,scramble,toss || 0.0
rake	shave || 0.0
rally	bait,beat up,bemock,call,call up,cod,collect,come up,drum up,garner,gather,go back,mobilise,mobilize,mock,muster,muster up,pull in,pull together,rag,razz,rebound^,recover^,recuperate,ride,send for,summon,tantalise,tantalize,taunt,tease,twit || 0.392673744445
ram	crash,drive,force,pound || -0.232935262696
ram down	pound || 0.0
ramble	drift,range,roll || 0
ramp up	build || 0.0
range	ar set up,array,be,browse,carry,cast,comprise,constitute,crop,downgrade,drift,eat,evaluate,feed,give,go,grade,graze,judge,lay out,locomote,make up,move,order,pass judgment,pasture,place,ramble,rank,rate,represent,roam,roll,rove,run,set out,straddle,stray,subordinate,swan,tramp,travel,vagabond,wander || 0.60618803114
rank	be,come,downgrade,evaluate,grade,judge,order,outexcel,pass judgment,place,range,rate,stand out,subordinate,surpass^ || -0.402509973161
ransack	despoil || -0.329679953964
rant	spout || 0
rap	knock,tap || 0
rape	assault,despoil || -0.232935262696
rarify	complicate*,develop,involve || 0
rase	level || -0.798103482005
rat	shop || -0.329679953964
rate	appraise,assess,be,downgrade,evaluate,grade,judge,measure,order,pass judgment,place,range,rank,revalue,subordinate,valuate,value || 0.550671035883
ratify	sign || 0
ration	allocate,apportion,circumscribe,confine,limit,ration out || 0
ration out	ration || 0.0
rationalise	cut,justify || 0.172932943353
rationalize	cut,justify || 0.172932943353
ravage	ruin*,waste || -0.550671035883
rave	spout || 0
ravel	unravel || 0
ravel out	unravel || 0.0
ravish	assault || -0.329679953964
raze	level || -0.798103482005
razz	rally,ride || -0.232935262696
re explore	search || 0.0
re interpret	present || 0.0
re lay out	present || 0.0
re make up	present || 0.0
re recoil	bound || 0.0
re-create	act,counterfeit,fake,forge,perform,play,renew,represent,stage || -0.329679953964
re-emerge	return || 0
re-start	resume || 0.329679953964
reach	access,accomplish,achieve,arrive,arrive at,attain,average,be,begin,bother,bring home the bacon,come,come through,commit,communicate,contact,culminate,deal,deliver,deliver the goods,drive,extend to,find,free,gain,get,get hold of,get through,get to,give,hand,hit,intercommunicate,labor,labour,leave,make,manage,move,pass,pass on,peak,progress to,push,raise,reach out,release,relinquish,scale,slip,strain,strike,strive,succeed,top,touch,transfer,trouble,trust,tug,turn over,win || 0.329679953964
reach out	extend,reach || 0.0
react	accept,acknowledge,act,answer,buck,change state,decline*,move,oppose,pursue,resist,respond,treat,turn,wonder || 0.329679953964
read	anticipate,audition,call,construe,dictate,feature,forebode,foretell,have,indicate,interpret,learn,mouth,practice,predict,prognosticate,promise,record,register,say,scan,see,show,speak,strike,study,take,talk,train,translate,try out,understand,utter,verbalise,verbalize || 0.518798830058
readapt	readjust || 0
readjust	adapt,adjust,conform,correct,readapt,reset,set || -0.329679953964
ready	alter,brace,change,concoct,cook,create from raw material,create from raw stuff,crop,fix,gear up,keep,make,modify,mount,poise,prepare,preserve,provide,set,set up,work || 0.698805788088
reaffirm	affirm || 0
realise	appreciate,bear,clear,earn,gain,gross,know,make,pay,perceive,profit,realize,recognize,see,yield || 0.864664716763
realize	acquire,actualise,actualize,agnise,agnize,appreciate,bear,bring in,clear,cognise,cognize,create,earn,gain,get,gross,harmonise,harmonize,know,make,pay,perceive,profit,pull in,realise,recognise,recognize,see,sell,substantiate,take in,understand,yield || 0.864664716763
reanimate	renovate,revive || 0
reap	cut,draw || 0.550671035883
reappear	return || 0
rear	foster,lift,loom,raise,rise || 0
rearrange	reshuffle || 0
reason	argue,calculate,cerebrate,cogitate,conclude,defend,feel,figure,find,gather,induce,lay out,present,reason out,represent,speculate,support,think || 0
reason out	conclude,feel,find,gather,induce,reason || 0.0
reassert	affirm,confirm,justify,maintain,validate || 0.329679953964
reassess	reevaluate || 0
reassign	exchange,second,transfer || -0.329679953964
reassure	assure,calm,calm down,lull,quiet,quieten,still,tranquilize,tranquillise,tranquillize || 0.698805788088
reave	despoil || -0.329679953964
rebel	arise,rise || 0
rebound^	bounce,bound,go back,jump,kick,leap,rally,recoil,recover^,recuperate,resile,reverberate,ricochet,skip,spring,take a hop || 0.0
rebuke	correct || -0.518798830058
rebut	answer,contradict,oppose || -0.550671035883
